Trying 192.168.1.177...
Connected to 192.168.1.177.
Escape character is '^]'.
847 Temperature: 72.42
848 Humidity: 47.79
849 Temperature: 72.40
850 Humidity: 47.79
851 Temperature: 72.40
852 Humidity: 47.79
853 Temperature: 72.42
854 Humidity: 47.82
855 Temperature: 72.42
856 Humidity: 47.82
857 Temperature: 72.44
858 Humidity: 47.86
859 Temperature: 72.44
860 Humidity: 47.86
861 Temperature: 72.44
